neg,neu,pos,q,preds,category,texts,processed,wc,uwc,hit
0.4289656474902173,0.40797782027039803,0.16196050278166582,0.0010960294577187742,neg,neu,เห็นคนลบแอพ viu ก็เห็นใจและเข้าใจเขานะคะ แผลมันยังใหม่แถมอารมณ์ยิ่งโดนสะกิดง่ายอยู่นี่เนอะ5555555 ส่วนทางนี้ก็กอด netflix แน่นมาก เธออย่าทำร้ายเรานะ เรารู้เธอไม่ทำร้ายเราแน่นอน,เห็น|คน|ลบ|แอพ|viu|ก็|เห็นใจ|และ|เข้าใจ|เขา|นะคะ|แผล|มัน|ยัง|ใหม่|แถม|อารมณ์|ยิ่ง|โดน|สะกิด|ง่าย|อยู่|นี่|เนอะ|5|xxrep|ส่วน|ทาง|นี้|ก็|กอด|netflix|แน่น|มาก|เธอ|อย่า|ทำร้าย|เรา|นะ|เรา|รู้|เธอ|ไม่|ทำร้าย|เรา|แน่นอน,46,41,False
0.05635669372237508,0.9023543908689293,0.035729816542342106,0.0055590988663532645,neu,neu,ไปชมไม้คิวของแชมป์ และรองแชมป์ กันจ้า! ................................ เก็บตกจากการแข่งขัน แสงโสม สนุกเกอร์ 6 แดง โอเพ่น ประจำปี 2560 สนามที่ 2 ณ มังกี้ สนุกเกอร์ คลับ ซอยโชคชัย 4 ลาดพร้าว เมื่อวันที่ 12 ต.ค.60,ไป|ชม|ไม้คิว|ของ|แชมป์|และ|รอง|แชมป์|กัน|จ้า|!|.xxrep|เก็บตก|จาก|การแข่งขัน|แสงโสม|สนุกเกอร์|6|แดง|โอเพ่น|ประจำปี|2560|สนาม|ที่|2|ณ|มัง|กี้|สนุกเกอร์|คลับ|ซอย|โชค|ชัย|4|ลาดพร้าว|เมื่อ|วันที่|12|ต.ค.|60,40,38,True
0.6020087571794489,0.30611715790145405,0.09029793278223029,0.0015761521368666562,neg,neg,กลุ่มรถซีวิคเป็นกลุ่มที่น่ารำคานมากกกกกกกกก อวดรถกันได้ทุกวินาที อวดทำไมมึงก็ใช้รถเหมือนกันทุกคน ละก็พวกสก๊อยที่บอกว่าอวดรถแต่ถ่ายนมตัวเองชัดละรถเบลอนี่คือ?????,กลุ่ม|รถ|ซีวิค|เป็น|กลุ่ม|ที่|น่า|รำ|คาน|มาก|xxrep|อวด|รถ|กัน|ได้|ทุก|วินาที|อวด|ทำไม|มึง|ก็|ใช้|รถ|เหมือนกัน|ทุกคน|ละ|ก็|พวก|สก๊อย|ที่|บอ|กว่า|อวด|รถ|แต่|ถ่าย|นม|ตัวเอง|ชัด|ละ|รถ|เบลอ|นี่|คือ|?xxrep,45,35,True
0.055707154293059634,0.5632144142204986,0.3755695587322363,0.005508872754205576,neu,neu,อยากสวยเหมือนเจ้าของแบรนด์สิคะ เนย โชติกา ใบหน้าสวย ใสกิ๊ง แม้แต่งหน้า นี่ขนาดเป็นคุณแม่แล้วนะเนี่ยก็ยังสวยไม่สร่าง ผ่านไปกี่ปีๆก็ไม่เปลี่ยน ผิวดี๊ดี ความสวย.เราสร้างเองได้ด้วยตัวเอง ถ้าได้ใช้มาส์กโช ต้องสวยเหมือนโชติกาแน่นอนค่ะ #มาส์กโชสวยข้ามคืน #cho_cosmetics #daradaily #ดาราเดลี่,อยาก|สวย|เหมือน|เจ้าของ|แบรนด์|สิ|คะ|เนย|โชติ|กา|ใบหน้า|สวย|ใส|กิ๊ง|แม้|แต่งหน้า|นี่|ขนาด|เป็น|คุณแม่|แล้ว|นะเนี่ย|ก็|ยัง|สวย|ไม่|สร่าง|ผ่าน|ไป|กี่|ปี|ๆ|ก็|ไม่|เปลี่ยน|ผิว|ดี๊|ดี|ความ|สวย|.|เรา|สร้าง|เอง|ได้|ด้วยตัวเอง|ถ้า|ได้|ใช้|มาส์กโช|ต้อง|สวย|เหมือน|โชติ|กา|แน่นอน|ค่ะ|#|มาส์กโช|สวย|ข้ามคืน|#cho_cosmetics|#daradaily|#|ดารา|เดลี่,66,53,True
0.7908713827237911,0.19556054680443224,0.013567725713255678,3.447585210688837e-07,neg,neg,ข้าวโถละร้อย แพง เพราะตักเป็นจานๆละ15 เต็มที่ก็5จาน คนไทยต้องกินข้าวประเทศทำนาข้าว กินข้าวในประเทศตัวเองหม้อเป็นร้อยเป็นลมดีกว่าค่าฉะเลี่ยถุง5โลไม่เกิน200เป็นข้าวมะลิ ไก่นี่ไม่รู้ว่าเป็นตัวหรือเปล่า แต่ถ้าตัวละ250บาทแพง ไก่ย่างขาย140-160 มีเยอะแยะยังได้กำไร แพงสุดไม่ควรเกินตัว200 ข้าวผัดปูจานใหญ่ 300ร้อยแพง ถ้าผัดเป็นจานๆละ50ผัด4จานก็เต็มถาดใหญ่แล้ว ส่วนเครื่องดืมด้านบนอะไร80ถ้าเป็นชาเย็นแพงมาก น้ำดืมขวดใหญ่ขวดละ50แพง บ้านเราเมืองร้อนอย่าเห็นแก่ตัว30ก็พอแล้ว คนต้องซื้อเยอะ เบียร์ช้างขวดละ120 กำไรครึ่งต่อครึ่งน่าเกลียดมา3ขวด360แพง โค๊ดขวดใหญ่ก็แพง แต่น้ำแข็งพอได้เพราะอากาศบ้านเราร้อนละลายง่ายอันนี้พอเข้าใจคนขาย แต่ทะเลเผาทะเลลวกไม่เห็นหน้าตาว่ามีอะไรบ้างก็กุ้งหมึกปูโละ300 ตัวกลางๆใส่มาอย่าง5ตัวปูสักตัว กำไรบานเบอะ ตำทะเลตำกุ้งสด150ไม่แพง กุ้งชุปแป้งทอดแพงมากๆ ต้มยำหม้อละ300ร้อยถือว่าแพงมาก เพราะมันใส่ได้ไม่เยอะหรอก มันดีตรงที่มีน้ำกับไฟอุ่นร้อน ของกินในบ้านยังแทบแตะไม่ได้ ทั้งที่ประก็อุดมสมบูรณ์ คนในประเทศยังกินไม่อิมส่งออกนอกพอมีน้อยเหลือน้อย ก็ขายให้กันแพงๆ ระบบแย่เอาเปรียบกันเอง ที่บ้านขายอาหารกับข้าวตามสั่งปรุ่งสุกใหม่ แค่จานละ100-150 คนยังว่าแพงทั้งที่บอกว่าอร่อย ถ้าไปเจอแบบนี้สงสัยช็อคตายคาร้านเลยมัง ถ้าต้องไปเจอทั้งแพงทั้งไม่อร่อยสักแต่ทำขาย ใครว่าไม่แพงยินดีด้วยที่คุณเป็นคนมีตัง แต่เรามองจากค่าแรงกลางๆของคนในประเทศนะ ซึ่งส่วนมากคนในประเทศไทยได้แต่ค่าแรงขั้นต่ำกับเบี้ยขยันเล็กน้อย คนจนเยอะกว่าคนรวยด้วย ทำอะไรต้องนึกถึงความสมควร นึกถึงกันและกัน แต่เราไม่ใช่คนเส้นตื้น ชอบมองและคิดจากความเป็นจริง ถึงขายให้ชาวต่างชาติก็เถอะ เหมือนคนไทยเอาเปรียบช่วยโอกาสและไม่ค่อยสัตย์ซื่อ,ข้าว|โถ|ละ|ร้อย|แพง|เพราะ|ตัก|เป็น|จาน|ๆ|ละ|15|เต็มที่|ก็|5|จาน|คนไทย|ต้อง|กินข้าว|ประเทศ|ทำนา|ข้าว|กินข้าว|ในประเทศ|ตัวเอง|หม้อ|เป็น|ร้อย|เป็นลม|ดีกว่า|ค่า|ฉะ|เลี่ย|ถุง|5|โล|ไม่|เกิน|200|เป็น|ข้าว|มะลิ|ไก่|นี่|ไม่|รู้|ว่า|เป็นตัว|หรือเปล่า|แต่|ถ้า|ตัว|ละ|250|บาท|แพง|ไก่ย่าง|ขาย|140|-|160|มี|เยอะแยะ|ยัง|ได้|กำไร|แพง|สุด|ไม่|ควร|เกินตัว|200|ข้าวผัด|ปู|จาน|ใหญ่|300|ร้อย|แพง|ถ้า|ผัด|เป็น|จาน|ๆ|ละ|50|ผัด|4|จาน|ก็|เต็ม|ถาด|ใหญ่|แล้ว|ส่วน|เครื่อง|ดืม|ด้านบน|อะไร|80|ถ้า|เป็น|ชาเย็น|แพง|มาก|น้ำ|ดืม|ขวด|ใหญ่|ขวด|ละ|50|แพง|บ้าน|เรา|เมืองร้อน|อย่า|เห็นแก่ตัว|30|ก็|พอแล้ว|คน|ต้อง|ซื้อ|เยอะ|เบียร์|ช้าง|ขวด|ละ|120|กำไร|ครึ่งต่อครึ่ง|น่าเกลียด|มา|3|ขวด|360|แพง|โค๊ด|ขวด|ใหญ่|ก็|แพง|แต่|น้ำแข็ง|พอได้|เพราะ|อากาศ|บ้าน|เรา|ร้อน|ละลาย|ง่าย|อันนี้|พอ|เข้าใจ|คน|ขาย|แต่|ทะเล|เผา|ทะเล|ลวก|ไม่|เห็น|หน้าตา|ว่า|มี|อะไร|บ้าง|ก็|กุ้ง|หมึก|ปู|โละ|300|ตัว|กลางๆ|ใส่|มา|อย่าง|5|ตัว|ปู|สัก|ตัว|กำไร|บานเบอะ|ตำ|ทะเล|ตำ|กุ้ง|สด|150|ไม่|แพง|กุ้ง|ชุ|ป|แป้ง|ทอด|แพง|มาก|ๆ|ต้มยำ|หม้อ|ละ|300|ร้อย|ถือว่า|แพง|มาก|เพราะ|มัน|ใส่|ได้|ไม่|เยอะ|หรอก|มันดี|ตรง|ที่|มี|น้ำ|กับ|ไฟ|อุ่น|ร้อน|ของ|กินใน|บ้าน|ยัง|แทบ|แตะ|ไม่|ได้|ทั้งที่|ประ|ก็|อุดมสมบูรณ์|คน|ในประเทศ|ยัง|กิน|ไม่|อิม|ส่งออก|นอก|พอ|มี|น้อย|เหลือ|น้อย|ก็|ขาย|ให้|กัน|แพง|ๆ|ระบบ|แย่|เอาเปรียบ|กันเอง|ที่|บ้าน|ขาย|อาหาร|กับข้าว|ตาม|สั่ง|ป|รุ่ง|สุก|ใหม่|แค่|จาน|ละ|100|-|150|คน|ยัง|ว่า|แพง|ทั้งที่|บอ|กว่า|อร่อย|ถ้า|ไป|เจอ|แบบนี้|สงสัย|ช็อค|ตาย|คา|ร้าน|เลย|มัง|ถ้า|ต้อง|ไป|เจอ|ทั้ง|แพง|ทั้ง|ไม่|อร่อย|สัก|แต่|ทำ|ขาย|ใคร|ว่า|ไม่|แพง|ยินดี|ด้วย|ที่|คุณ|เป็น|คน|มี|ตัง|แต่|เรา|มอง|จาก|ค่าแรง|กลางๆ|ของ|คน|ในประเทศ|นะ|ซึ่ง|ส่วนมาก|คน|ในประเทศ|ไทย|ได้|แต่|ค่าแรงขั้นต่ำ|กับ|เบี้ย|ขยัน|เล็กน้อย|คนจน|เยอะ|กว่า|คนรวย|ด้วย|ทำ|อะไร|ต้อง|นึกถึง|ความ|สมควร|นึกถึง|กันและกัน|แต่|เรา|ไม่|ใช่|คน|เส้นตื้น|ชอบ|มอง|และ|คิด|จาก|ความเป็นจริง|ถึง|ขาย|ให้|ชาวต่างชาติ|ก็|เถอะ|เหมือน|คนไทย|เอาเปรียบ|ช่วย|โอกาส|และ|ไม่ค่อย|สัตย์ซื่อ,385,215,True
0.09415525074785107,0.7517528372640642,0.145408039468016,0.008683872520068681,neu,neu,หาไรกินไปก่อนนะครับ ยังรอเกบตังลุกค้า น่าจะสาย,หา|ไร|กิน|ไป|ก่อน|นะ|ครับ|ยัง|รอ|เก|บ|ตัง|ลุก|ค้า|น่าจะ|สาย,16,16,True
0.27231612075214623,0.6830400955609208,0.04242978311005531,0.0022140005768777784,neu,neu,ป่วยกินไม่ได้,ป่วย|กิน|ไม่|ได้,4,4,True
0.07983046250325712,0.0324154027244956,0.8832617341084796,0.004492400663767677,pos,pos,ขอบคุณของรางวัลมากนะคะ,ขอบคุณ|ของรางวัล|มาก|นะคะ,4,4,True
0.4535056466280131,0.42274975860118813,0.11968351053248548,0.004061084238313269,neg,neg,ยาริสคันล่ะล้านห้าแน่เลย นึกว่าขับฟอร์จูน,ยาริส|คัน|ล่ะ|ล้าน|ห้า|แน่|เลย|นึก|ว่า|ขับ|ฟอร์จูน,11,11,True
0.155291819511978,0.6284639319442407,0.21041122232586032,0.005833026217921151,neu,neu,นิสสันมาสมีปะคัฟ,นิสสัน|มา|สมีปะ|คัฟ,4,4,True
